FILE_NAME: EC001112.CSV
ROM_CODE: 9A3B2000027AF621
DEVICE_NAME: DS1921Z
UPLOAD_TIME: 2017-06-20T09:34:24
MAC_ADDRESS: 00:04:A3:C1:42:3F
TEMPERATURE_UNITS: Centigrade

GPSRAM_0-15: Bog Trail

REGS_16:
RTC_Time: 2017-06-20T09:34:42
Alarm_Time: 00:00:00
Alarm_MaskDayOfWeek: 0
Alarm_MaskHrs: 0
Alarm_MaskMin: 0
Alarm_MaskSec: 0
Temp_LowAlarmThreshold: 0.000
Temp_HighAlarmThreshold: 0.000
Temp_LowAlarmState: FALSE
Temp_HighAlarmState: TRUE
Mission_InProgress: FALSE
Mission_RolloverEnabled: FALSE
Mission_StartDelay: 0 Min
Mission_TimeBetweenConversions: 10 Min
Mission_TimeStamp: 2017-06-02T15:04:00
Mission_SamplesCounter: 2560
Mission_RolloverOccurred: No
Device_SamplesCounter: 89415
Memory_Clear: FALSE
Oscillator_Enabled: TRUE

ALARMS_17-19:
High_Alarm_Time, High_Alarm_Duration
2017-06-02T15:14:00,17T17:00:00

HISTOGRAM_64-67:
Histogram_NumberOfBins: 64
Histogram_HighestBinValue: 1108
Histogram_LowBinTemp: -5.5
Histogram_HighBinTemp: 26.0
Count,Temperature
2017-06-03T10:04:00,10.4
2017-06-03T10:14:00,10.4
2017-06-03T10:24:00,10.4
2017-06-03T10:34:00,10.4
2017-06-03T10:44:00,10.4
2017-06-03T10:54:00,10.4
2017-06-03T11:04:00,10.4
2017-06-03T11:14:00,10.4
2017-06-03T11:24:00,10.4
2017-06-03T11:34:00,10.4
2017-06-03T11:44:00,10.4
2017-06-03T11:54:00,10.4
2017-06-03T12:04:00,10.4
2017-06-03T12:14:00,10.4
2017-06-03T12:24:00,10.4
2017-06-03T12:34:00,10.4
2017-06-03T12:44:00,10.4
2017-06-03T12:54:00,10.4
2017-06-03T13:04:00,10.4
2017-06-03T13:14:00,10.4
2017-06-03T13:24:00,10.4
2017-06-03T13:34:00,10.4
2017-06-03T13:44:00,10.4
2017-06-03T13:54:00,10.4
2017-06-03T14:04:00,10.4
2017-06-03T14:14:00,10.4
2017-06-03T14:24:00,10.4
2017-06-03T14:34:00,10.4
2017-06-03T14:44:00,10.4
2017-06-03T14:54:00,10.4
2017-06-03T15:04:00,10.4
2017-06-03T15:14:00,10.4
2017-06-03T15:24:00,10.4
2017-06-03T15:34:00,10.4
2017-06-03T15:44:00,10.4
2017-06-03T15:54:00,10.4
2017-06-03T16:04:00,10.4
2017-06-03T16:14:00,10.4
2017-06-03T16:24:00,10.4
2017-06-03T16:34:00,10.4
2017-06-03T16:44:00,10.4
2017-06-03T16:54:00,10.4
2017-06-03T17:04:00,10.4
2017-06-03T17:14:00,10.4
2017-06-03T17:24:00,10.4
2017-06-03T17:34:00,10.4
2017-06-03T17:44:00,10.4
2017-06-03T17:54:00,10.4
2017-06-03T18:04:00,10.4
2017-06-03T18:14:00,10.4
2017-06-03T18:24:00,10.4
2017-06-03T18:34:00,10.4
2017-06-03T18:44:00,10.4
2017-06-03T18:54:00,10.4
2017-06-03T19:04:00,10.4
2017-06-03T19:14:00,10.4
2017-06-03T19:24:00,10.4
2017-06-03T19:34:00,10.4
2017-06-03T19:44:00,10.4
2017-06-03T19:54:00,10.4
2017-06-03T20:04:00,10.4
2017-06-03T20:14:00,10.4
2017-06-03T20:24:00,10.4
2017-06-03T20:34:00,10.4
2017-06-03T20:44:00,10.4
2017-06-03T20:54:00,10.4
2017-06-03T21:04:00,10.4
2017-06-03T21:14:00,10.4
2017-06-03T21:24:00,10.4
2017-06-03T21:34:00,10.4
2017-06-03T21:44:00,10.4
2017-06-03T21:54:00,10.4
2017-06-03T22:04:00,10.4
2017-06-03T22:14:00,10.4
2017-06-03T22:24:00,10.4
2017-06-03T22:34:00,10.4
2017-06-03T22:44:00,10.4
2017-06-03T22:54:00,10.4
2017-06-03T23:04:00,10.4
2017-06-03T23:14:00,10.4
2017-06-03T23:24:00,10.4
2017-06-03T23:34:00,10.4
2017-06-03T23:44:00,10.4
2017-06-03T23:54:00,10.4
2017-06-04T00:04:00,10.4
2017-06-04T00:14:00,10.4
2017-06-04T00:24:00,10.4
2017-06-04T00:34:00,10.4
2017-06-04T00:44:00,10.4
2017-06-04T00:54:00,10.4
2017-06-04T01:04:00,10.4
2017-06-04T01:14:00,10.4
2017-06-04T01:24:00,10.4
2017-06-04T01:34:00,10.4
2017-06-04T01:44:00,10.4
2017-06-04T01:54:00,10.4
2017-06-04T02:04:00,10.4
2017-06-04T02:14:00,10.4
2017-06-04T02:24:00,10.4
2017-06-04T02:34:00,10.4
2017-06-04T02:44:00,10.4
2017-06-04T02:54:00,10.4
2017-06-04T03:04:00,10.4
2017-06-04T03:14:00,10.4
2017-06-04T03:24:00,10.4
2017-06-04T03:34:00,10.4
2017-06-04T03:44:00,10.4
2017-06-04T03:54:00,10.4
2017-06-04T04:04:00,10.4
2017-06-04T04:14:00,10.4
2017-06-04T04:24:00,10.4
2017-06-04T04:34:00,10.4
2017-06-04T04:44:00,10.4
2017-06-04T04:54:00,10.4
2017-06-04T05:04:00,10.4
2017-06-04T05:14:00,10.4
2017-06-04T05:24:00,10.4
2017-06-04T05:34:00,10.4
2017-06-04T05:44:00,10.4
2017-06-04T05:54:00,10.4
2017-06-04T06:04:00,10.4
2017-06-04T06:14:00,10.4
2017-06-04T06:24:00,10.4
2017-06-04T06:34:00,10.4
2017-06-04T06:44:00,10.4
2017-06-04T06:54:00,10.4
2017-06-04T07:04:00,10.4
2017-06-04T07:14:00,10.4
2017-06-04T07:24:00,10.4
2017-06-04T07:34:00,10.4
2017-06-04T07:44:00,10.4
2017-06-04T07:54:00,10.4
2017-06-04T08:04:00,10.4
2017-06-04T08:14:00,10.4
2017-06-04T08:24:00,10.4
2017-06-04T08:34:00,10.4
2017-06-04T08:44:00,10.4
2017-06-04T08:54:00,10.4
2017-06-04T09:04:00,10.4
2017-06-04T09:14:00,10.4
2017-06-04T09:24:00,10.4
2017-06-04T09:34:00,10.4
2017-06-04T09:44:00,10.4
2017-06-04T09:54:00,10.4
2017-06-04T10:04:00,10.4
2017-06-04T10:14:00,10.4
2017-06-04T10:24:00,10.4
2017-06-04T10:34:00,10.4
2017-06-04T10:44:00,10.4
2017-06-04T10:54:00,10.4
2017-06-04T11:04:00,10.4
2017-06-04T11:14:00,10.4
2017-06-04T11:24:00,10.4
2017-06-04T11:34:00,10.4
2017-06-04T11:44:00,10.4
2017-06-04T11:54:00,10.4
2017-06-04T12:04:00,10.4
2017-06-04T12:14:00,10.4
2017-06-04T12:24:00,10.5
2017-06-04T12:34:00,10.4
2017-06-04T12:44:00,10.4
2017-06-04T12:54:00,10.4
2017-06-04T13:04:00,10.4
2017-06-04T13:14:00,10.4
2017-06-04T13:24:00,10.4
2017-06-04T13:34:00,10.4
2017-06-04T13:44:00,10.4
2017-06-04T13:54:00,10.5
2017-06-04T14:04:00,10.4
2017-06-04T14:14:00,10.5
2017-06-04T14:24:00,10.5
2017-06-04T14:34:00,10.4
2017-06-04T14:44:00,10.4
2017-06-04T14:54:00,10.5
2017-06-04T15:04:00,10.4
2017-06-04T15:14:00,10.4
2017-06-04T15:24:00,10.4
2017-06-04T15:34:00,10.5
2017-06-04T15:44:00,10.4
2017-06-04T15:54:00,10.4
2017-06-04T16:04:00,10.4
2017-06-04T16:14:00,10.5
2017-06-04T16:24:00,10.4
2017-06-04T16:34:00,10.5
2017-06-04T16:44:00,10.4
2017-06-04T16:54:00,10.5
2017-06-04T17:04:00,10.4
2017-06-04T17:14:00,10.4
2017-06-04T17:24:00,10.5
2017-06-04T17:34:00,10.4
2017-06-04T17:44:00,10.5
2017-06-04T17:54:00,10.5
2017-06-04T18:04:00,10.5
2017-06-04T18:14:00,10.5
2017-06-04T18:24:00,10.5
2017-06-04T18:34:00,10.5
2017-06-04T18:44:00,10.5
2017-06-04T18:54:00,10.5
2017-06-04T19:04:00,10.5
2017-06-04T19:14:00,10.5
2017-06-04T19:24:00,10.5
2017-06-04T19:34:00,10.5
2017-06-04T19:44:00,10.5
2017-06-04T19:54:00,10.5
2017-06-04T20:04:00,10.5
2017-06-04T20:14:00,10.5
2017-06-04T20:24:00,10.5
2017-06-04T20:34:00,10.5
2017-06-04T20:44:00,10.5
2017-06-04T20:54:00,10.5
2017-06-04T21:04:00,10.5
2017-06-04T21:14:00,10.5
2017-06-04T21:24:00,10.5
2017-06-04T21:34:00,10.5
2017-06-04T21:44:00,10.5
2017-06-04T21:54:00,10.5
2017-06-04T22:04:00,10.5
2017-06-04T22:14:00,10.5
2017-06-04T22:24:00,10.5
2017-06-04T22:34:00,10.5
2017-06-04T22:44:00,10.5
2017-06-04T22:54:00,10.5
2017-06-04T23:04:00,10.5
2017-06-04T23:14:00,10.5
2017-06-04T23:24:00,10.5
2017-06-04T23:34:00,10.5
2017-06-04T23:44:00,10.5
2017-06-04T23:54:00,10.5
2017-06-05T00:04:00,10.5
2017-06-05T00:14:00,10.5
2017-06-05T00:24:00,10.5
2017-06-05T00:34:00,10.5
2017-06-05T00:44:00,10.5
2017-06-05T00:54:00,10.5
2017-06-05T01:04:00,10.5
2017-06-05T01:14:00,10.5
2017-06-05T01:24:00,10.5
2017-06-05T01:34:00,10.5
2017-06-05T01:44:00,10.5
2017-06-05T01:54:00,10.5
2017-06-05T02:04:00,10.5
2017-06-05T02:14:00,10.5
2017-06-05T02:24:00,10.5
2017-06-05T02:34:00,10.5
2017-06-05T02:44:00,10.5
2017-06-05T02:54:00,10.5
2017-06-05T03:04:00,10.5
2017-06-05T03:14:00,10.5
2017-06-05T03:24:00,10.5
2017-06-05T03:34:00,10.5
2017-06-05T03:44:00,10.5
2017-06-05T03:54:00,10.5
2017-06-05T04:04:00,10.5
2017-06-05T04:14:00,10.5
2017-06-05T04:24:00,10.5
2017-06-05T04:34:00,10.5
2017-06-05T04:44:00,10.5
2017-06-05T04:54:00,10.5
2017-06-05T05:04:00,10.5
2017-06-05T05:14:00,10.5
2017-06-05T05:24:00,10.5
2017-06-05T05:34:00,10.5
2017-06-05T05:44:00,10.5
2017-06-05T05:54:00,10.5
