FILE_NAME: EC001116.CSV
ROM_CODE: D03B200002945421
DEVICE_NAME: DS1921Z
UPLOAD_TIME: 2017-06-20T09:50:16
MAC_ADDRESS: 00:04:A3:C1:42:3F
TEMPERATURE_UNITS: Centigrade

GPSRAM_0-15: Bog Trail

REGS_16:
RTC_Time: 2017-06-20T09:50:51
Alarm_Time: 00:00:00
Alarm_MaskDayOfWeek: 0
Alarm_MaskHrs: 0
Alarm_MaskMin: 0
Alarm_MaskSec: 0
Temp_LowAlarmThreshold: 0.000
Temp_HighAlarmThreshold: 0.000
Temp_LowAlarmState: FALSE
Temp_HighAlarmState: TRUE
Mission_InProgress: FALSE
Mission_RolloverEnabled: FALSE
Mission_StartDelay: 0 Min
Mission_TimeBetweenConversions: 10 Min
Mission_TimeStamp: 2017-06-02T15:03:00
Mission_SamplesCounter: 2561
Mission_RolloverOccurred: No
Device_SamplesCounter: 85371
Memory_Clear: FALSE
Oscillator_Enabled: TRUE

ALARMS_17-19:
High_Alarm_Time, High_Alarm_Duration
2017-06-02T15:13:00,17T17:00:00

HISTOGRAM_64-67:
Histogram_NumberOfBins: 64
Histogram_HighestBinValue: 1082
Histogram_LowBinTemp: -5.5
Histogram_HighBinTemp: 26.0
Count,Temperature
00000,-5.5
00000,-5.0
00000,-4.5
00000,-4.0
00000,-3.5
00000,-3.0
00000,-2.5
00000,-2.0
00000,-1.5
00000,-1.0
00000,-0.5
00000,0.0
00000,0.5
00000,1.0
00000,1.5
00000,2.0
00000,2.5
00000,3.0
00000,3.5
00000,4.0
00000,4.5
00000,5.0
00000,5.5
00000,6.0
00000,6.5
00000,7.0
00000,7.5
00000,8.0
01082,8.5
00719,9.0
00085,9.5
00000,10.0
00000,10.5
00000,11.0
00000,11.5
00000,12.0
00000,12.5
00000,13.0
00001,13.5
00000,14.0
00000,14.5
00000,15.0
00000,15.5
00000,16.0
00001,16.5
00000,17.0
00001,17.5
00002,18.0
00003,18.5
00146,19.0
00248,19.5
00159,20.0
00076,20.5
00037,21.0
00001,21.5
00000,22.0
00000,22.5
00000,23.0
00000,23.5
00000,24.0
00000,24.5
00000,25.0
00000,25.5
00000,26.0

DATALOGS_128-191:
DataLog_NumSamples: 2048
DataLog_FirstSampleTime: 2017-06-02T15:03:00
DataLog_LastSampleTime: 2017-06-16T20:13:00
DataLog_SampleDuration: 14T05:10:00
DataLog_LowestTemp: 8.8
DataLog_HighestTemp: 19.7

TimeStamp,Temperature
2017-06-02T15:03:00,8.8
2017-06-02T15:13:00,8.8
2017-06-02T15:23:00,8.8
2017-06-02T15:33:00,8.8
2017-06-02T15:43:00,8.8
2017-06-02T15:53:00,8.8
2017-06-02T16:03:00,8.8
2017-06-02T16:13:00,8.8
2017-06-02T16:23:00,8.8
2017-06-02T16:33:00,8.8
2017-06-02T16:43:00,8.8
2017-06-02T16:53:00,8.8
2017-06-02T17:03:00,8.8
2017-06-02T17:13:00,8.8
2017-06-02T17:23:00,8.8
2017-06-02T17:33:00,8.8
2017-06-02T17:43:00,8.8
2017-06-02T17:53:00,8.8
2017-06-02T18:03:00,8.8
2017-06-02T18:13:00,8.8
2017-06-02T18:23:00,8.8
2017-06-02T18:33:00,8.8
2017-06-02T18:43:00,8.8
2017-06-02T18:53:00,8.8
2017-06-02T19:03:00,8.8
2017-06-02T19:13:00,8.8
2017-06-02T19:23:00,8.8
2017-06-02T19:33:00,8.8
2017-06-02T19:43:00,8.8
2017-06-02T19:53:00,8.8
2017-06-02T20:03:00,8.8
2017-06-02T20:13:00,8.8
2017-06-02T20:23:00,8.8
2017-06-02T20:33:00,8.8
2017-06-02T20:43:00,8.8
2017-06-02T20:53:00,8.8
2017-06-02T21:03:00,8.8
2017-06-02T21:13:00,8.8
2017-06-02T21:23:00,8.8
2017-06-02T21:33:00,8.8
2017-06-02T21:43:00,8.8
2017-06-02T21:53:00,8.8
